"","month","year","count","treatment","reproductive","proportion"
"73",9,2009,1,"control",0,0
"74",9,2012,1,"control",0,0
"75",9,2013,1,"control",0,0
"76",9,2014,1,"control",0,0
"77",9,2015,2,"control",0,0
"78",10,1997,2,"control",0,0
"79",10,1998,4,"control",0,0
"80",10,1999,1,"control",0,0
"81",10,2000,5,"control",0,0
"82",10,2001,8,"control",0,0
"83",10,2003,8,"control",0,0
"84",10,2004,7,"control",0,0
"85",10,2005,1,"control",0,0
"86",10,2007,18,"control",0,0
"87",10,2008,2,"control",0,0
"88",10,2009,1,"control",0,0
"89",10,2011,1,"control",0,0
"90",10,2012,1,"control",0,0
"91",10,2014,2,"control",0,0
"92",10,2015,1,"control",0,0
"93",11,1998,2,"control",0,0
"94",11,1999,1,"control",0,0
"95",11,2000,3,"control",0,0
"96",11,2001,5,"control",0,0
"97",11,2003,6,"control",0,0
"98",11,2004,5,"control",0,0
"99",11,2005,8,"control",0,0
"100",11,2007,13,"control",0,0
"101",11,2008,3,"control",0,0
"102",11,2013,1,"control",0,0
"103",11,2015,1,"control",0,0
"104",12,1996,1,"control",0,0
"105",12,1997,1,"control",0,0
"106",12,1998,2,"control",0,0
"107",12,1999,1,"control",0,0
"108",12,2000,2,"control",0,0
"109",12,2001,3,"control",0,0
"110",12,2002,17,"control",0,0
"111",12,2003,2,"control",0,0
"112",12,2004,6,"control",0,0
"113",12,2005,8,"control",0,0
"114",12,2007,6,"control",0,0
"115",12,2008,3,"control",0,0
"116",12,2009,1,"control",0,0
"117",12,2011,1,"control",0,0
"118",12,2013,1,"control",0,0
"119",12,2014,2,"control",0,0
"120",9,2007,18,"control",1,0.0555555555555556
"121",9,2005,13,"control",1,0.0769230769230769
"122",6,2007,24,"control",2,0.0833333333333333
"123",7,2003,12,"control",1,0.0833333333333333
"124",6,2003,10,"control",1,0.1
"125",2,2003,9,"control",1,0.111111111111111
"126",8,2005,9,"control",1,0.111111111111111
"127",12,2006,9,"control",1,0.111111111111111
"128",3,2006,8,"control",1,0.125
"129",6,2000,8,"control",1,0.125
"130",5,2007,13,"control",2,0.153846153846154
"131",6,2002,6,"control",1,0.166666666666667
"132",3,2003,23,"control",5,0.217391304347826
"133",7,2002,9,"control",2,0.222222222222222
"134",4,2000,8,"control",2,0.25
"135",5,2009,4,"control",1,0.25
