"","period","month","Month","day","year","plot","stake","treatment","species","sex","reprod","vagina","nipples","lactation","pregnant","testes","hfl","wgt","tag"
"3980",229,"3","Mar",15,1997,22,24,"control","DM","M",NA,NA,NA,NA,NA,"S",36,44,"2620"
"3981",229,"3","Mar",15,1997,12,27,"control","DM","M",NA,NA,NA,NA,NA,"S",36,39,"297331"
"3982",229,"3","Mar",15,1997,22,37,"control","DM","M",NA,NA,NA,NA,NA,"S",37,57,"15E46F"
"3983",229,"3","Mar",15,1997,2,41,"control","DM","M",NA,NA,NA,NA,NA,"M",38,48,"762B83"
"3984",229,"3","Mar",15,1997,17,46,"control","DM","M",NA,NA,NA,NA,NA,"S",34,44,"2696"
"3985",229,"3","Mar",15,1997,1,51,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",37,50,"70F5C1"
"3986",229,"3","Mar",15,1997,22,52,"control","DM","M",NA,NA,NA,NA,NA,"S",35,53,"2624"
"3987",229,"3","Mar",15,1997,17,54,"control","DM","M",NA,NA,NA,NA,NA,"S",36,47,"2B26B2"
"3988",229,"3","Mar",15,1997,22,66,"control","DM","M",NA,NA,NA,NA,NA,"S",37,53,"348"
"3989",229,"3","Mar",15,1997,17,72,"control","DM","M",NA,NA,NA,NA,NA,"S",39,49,"701122"
"3990",229,"3","Mar",15,1997,12,77,"control","DM","M",NA,NA,NA,NA,NA,"M",38,43,"96199F"
"3991",229,"3","Mar",16,1997,14,11,"control","DM","M",NA,NA,NA,NA,NA,"S",35,44,"4E1A79"
"3992",229,"3","Mar",16,1997,14,16,"control","DM","M",NA,NA,NA,NA,NA,"S",35,43,"288"
"3993",229,"3","Mar",16,1997,4,23,"control","DM","M",NA,NA,NA,NA,NA,"S",37,52,"1F5407"
"3994",229,"3","Mar",16,1997,14,37,"control","DM","M",NA,NA,NA,NA,NA,"S",36,48,"158"
"3995",229,"3","Mar",16,1997,14,46,"control","DM","M",NA,NA,NA,NA,NA,"R",35,42,"14684D"
"3996",229,"3","Mar",16,1997,4,65,"control","DM","M",NA,NA,NA,NA,NA,"S",35,51,"0E012C"
"3997",229,"3","Mar",16,1997,9,71,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",36,42,"194F73"
"3998",229,"3","Mar",16,1997,4,72,"control","DM","M",NA,NA,NA,NA,NA,"R",39,52,"296E5F"
"3999",229,"3","Mar",16,1997,11,72,"control","DM","M",NA,NA,NA,NA,NA,"S",36,43,"2696"
"4000",230,"4","Apr",12,1997,12,11,"control","DM","M",NA,NA,NA,NA,NA,"S",37,49,"2740"
"4001",230,"4","Apr",12,1997,17,13,"control","DM","M",NA,NA,NA,NA,NA,"S",37,51,"96939A"
"4002",230,"4","Apr",12,1997,12,43,"control","DM","M",NA,NA,NA,NA,NA,"S",38,46,"2B9498"
"4003",230,"4","Apr",12,1997,1,61,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",35,49,"2748"
"4004",230,"4","Apr",12,1997,12,63,"control","DM","M",NA,NA,NA,NA,NA,"S",37,45,"2698"
"4005",230,"4","Apr",13,1997,14,32,"control","DM","M",NA,NA,NA,NA,NA,"S",37,52,"70081E"
"4006",230,"4","Apr",13,1997,11,36,"control","DM","M",NA,NA,NA,NA,NA,"M",34,48,"1DF011"
"4007",230,"4","Apr",13,1997,14,41,"control","DM","M",NA,NA,NA,NA,NA,"S",37,50,"2799"
"4008",230,"4","Apr",13,1997,4,46,"control","DM","M",NA,NA,NA,NA,NA,"M",37,55,"0D4F15"
"4009",230,"4","Apr",13,1997,9,51,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",35,51,"19AF73"
"4010",230,"4","Apr",13,1997,3,72,"exclosure","DM","M",NA,NA,NA,NA,NA,"S",35,48,"0CFB95"
"4011",230,"4","Apr",13,1997,9,77,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",38,49,"1EA464"
"4012",231,"5","May",10,1997,17,13,"control","DM","M",NA,NA,NA,NA,NA,"S",36,48,"96939A"
"4013",231,"5","May",10,1997,2,23,"control","DM","M",NA,NA,NA,NA,NA,"S",38,49,"762B93"
"4014",231,"5","May",10,1997,17,25,"control","DM","M",NA,NA,NA,NA,NA,"S",37,49,"2697"
"4015",231,"5","May",10,1997,12,27,"control","DM","M",NA,NA,NA,NA,NA,"S",36,42,"297331"
"4016",231,"5","May",10,1997,17,56,"control","DM","M",NA,NA,NA,NA,NA,"S",36,42,"1D5A30"
"4017",231,"5","May",11,1997,14,14,"control","DM","M",NA,NA,NA,NA,NA,"S",33,41,"1D59A9"
"4018",231,"5","May",11,1997,14,41,"control","DM","M",NA,NA,NA,NA,NA,"S",35,52,"70081E"
"4019",231,"5","May",11,1997,14,57,"control","DM","M",NA,NA,NA,NA,NA,"S",36,49,"158"
"4020",231,"5","May",11,1997,9,64,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",37,49,"4E0D5C"
"4021",232,"6","Jun",9,1997,4,47,"control","DM","M",NA,NA,NA,NA,NA,"S",38,50,"0D4F15"
"4022",232,"6","Jun",9,1997,4,71,"control","DM","M",NA,NA,NA,NA,NA,"S",38,48,"296E5F"
"4023",232,"6","Jun",10,1997,17,24,"control","DM","M",NA,NA,NA,NA,NA,"S",35,50,"96939A"
"4024",232,"6","Jun",10,1997,12,43,"control","DM","M",NA,NA,NA,NA,NA,"S",36,43,"2B9458"
"4025",232,"6","Jun",11,1997,22,31,"control","DM","M",NA,NA,NA,NA,NA,"S",35,47,"2624"
"4026",233,"7","Jul",9,1997,14,33,"control","DM","M",NA,NA,NA,NA,NA,"S",36,48,"70071E"
"4027",233,"7","Jul",9,1997,14,46,"control","DM","M",NA,NA,NA,NA,NA,"S",35,40,"14684D"
"4028",233,"7","Jul",10,1997,11,63,"control","DM","M",NA,NA,NA,NA,NA,"S",34,51,"16CB0E"
"4029",233,"7","Jul",10,1997,8,72,"control","DM","M",NA,NA,NA,NA,NA,"S",37,42,"1EB374"
"4030",234,"7","Jul",30,1997,4,53,"control","DM","M",NA,NA,NA,NA,NA,"S",33,49,"0E012C"
"4031",239,"1","Jan",31,1998,17,33,"control","DM","M",NA,NA,NA,NA,NA,"S",37,47,"329"
"4032",239,"2","Feb",1,1998,4,27,"control","DM","M",NA,NA,NA,NA,NA,"S",38,51,"6000DM"
"4033",241,"3","Mar",29,1998,17,32,"control","DM","M",NA,NA,NA,NA,NA,"S",36,49,"8113DM"
"4034",241,"3","Mar",29,1998,12,47,"control","DM","M",NA,NA,NA,NA,NA,"S",36,43,"297331"
"4035",242,"5","May",2,1998,17,32,"control","DM","M",NA,NA,NA,NA,NA,"S",34,43,"8001DM"
"4036",242,"5","May",2,1998,12,55,"control","DM","M",NA,NA,NA,NA,NA,"S",35,47,"7001DM"
"4037",242,"5","May",3,1998,13,46,"exclosure","DM","M",NA,NA,NA,NA,NA,"S",37,48,"2516"
"4038",242,"5","May",3,1998,14,54,"control","DM","M",NA,NA,NA,NA,NA,"S",37,46,"8010DM"
"4039",242,"5","May",3,1998,4,71,"control","DM","M",NA,NA,NA,NA,NA,"S",36,48,"6001DM"
"4040",243,"5","May",28,1998,2,17,"control","DM","M",NA,NA,NA,NA,NA,"S",37,51,"8113DM"
"4041",243,"5","May",28,1998,12,56,"control","DM","M",NA,NA,NA,NA,NA,"S",36,46,"7001DM"
"4042",243,"5","May",28,1998,17,76,"control","DM","M",NA,NA,NA,NA,NA,"S",34,38,"0"
"4043",243,"5","May",28,1998,17,NA,"control","DM","M",NA,NA,NA,NA,NA,"S",36,40,"8113DM"
"4044",243,"5","May",29,1998,14,35,"control","DM","M",NA,NA,NA,NA,NA,"S",37,49,"2634"
"4045",243,"5","May",29,1998,4,45,"control","DM","M",NA,NA,NA,NA,NA,"S",34,48,"6011DM"
"4046",243,"5","May",29,1998,9,62,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",38,50,"7100DM"
"4047",244,"6","Jun",27,1998,12,75,"control","DM","M",NA,NA,NA,NA,NA,"S",34,44,"7103DM"
"4048",244,"6","Jun",28,1998,9,17,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",37,47,"7103DM"
"4049",244,"6","Jun",28,1998,9,64,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",38,48,"7100DM"
"4050",245,"7","Jul",18,1998,22,17,"control","DM","M",NA,NA,NA,NA,NA,"S",36,49,"6111DM"
"4051",245,"7","Jul",18,1998,22,31,"control","DM","M",NA,NA,NA,NA,NA,"R",37,40,"7031DM"
"4052",245,"7","Jul",18,1998,12,73,"control","DM","M",NA,NA,NA,NA,NA,"S",36,45,"8102DM"
"4053",245,"7","Jul",19,1998,8,21,"control","DM","M",NA,NA,NA,NA,NA,"S",39,46,"92"
"4054",245,"7","Jul",19,1998,9,57,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",35,48,"8000DM"
"4055",246,"8","Aug",22,1998,12,25,"control","DM","M",NA,NA,NA,NA,NA,"S",37,42,"8022DM"
"4056",246,"8","Aug",23,1998,11,72,"control","DM","M",NA,NA,NA,NA,NA,"R",37,37,"98"
"4057",247,"9","Sept",19,1998,22,35,"control","DM","M",NA,NA,NA,NA,NA,"S",37,50,"6111DM"
"4058",247,"9","Sept",20,1998,4,15,"control","DM","M",NA,NA,NA,NA,NA,"S",36,48,"2907"
"4059",248,"10","Oct",24,1998,12,27,"control","DM","M",NA,NA,NA,NA,NA,"R",35,45,"1111DM"
"4060",248,"10","Oct",25,1998,4,41,"control","DM","M",NA,NA,NA,NA,NA,"R",35,46,"8100DM"
"4061",249,"11","Nov",21,1998,12,44,"control","DM","M",NA,NA,NA,NA,NA,"R",36,47,"8032DM"
