"","period","month","Month","day","year","plot","stake","treatment","species","sex","reprod","vagina","nipples","lactation","pregnant","testes","hfl","wgt","tag"
"1119",60,"7","Jul",25,1982,8,36,"control","PF","M",NA,NA,NA,NA,NA,"S",NA,8,"996"
"1120",60,"7","Jul",26,1982,13,61,"control","PF","M",NA,NA,NA,NA,NA,"S",NA,9,"4998"
"1121",60,"7","Jul",27,1982,19,52,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",NA,7,"8601"
"1122",61,"8","Aug",15,1982,21,32,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"5114"
"1123",62,"9","Sept",18,1982,6,75,"control","PF","M",NA,NA,NA,NA,NA,"S",16,6,"8510"
"1124",62,"9","Sept",19,1982,22,35,"control","PF","M",NA,NA,NA,NA,NA,"S",15,8,"8611"
"1125",62,"9","Sept",19,1982,19,44,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,6,"8603"
"1126",63,"11","Nov",22,1982,8,52,"control","PF","M",NA,NA,NA,NA,NA,"S",15,6,"8511"
"1127",66,"3","Mar",15,1983,9,25,"control","PF","M",NA,NA,NA,NA,NA,"S",14,7,"7604"
"1128",66,"3","Mar",15,1983,5,34,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",16,9,"6504"
"1129",66,"3","Mar",15,1983,15,37,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,7,"7503"
"1130",67,"4","Apr",16,1983,22,22,"control","PF","M",NA,NA,NA,NA,NA,"S",17,7,"8702"
"1131",67,"4","Apr",16,1983,19,71,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,6,"6513"
"1132",67,"4","Apr",17,1983,3,27,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"8500"
"1133",67,"4","Apr",17,1983,8,46,"control","PF","M",NA,NA,NA,NA,NA,"S",17,7,"7500"
"1134",67,"4","Apr",17,1983,3,62,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",17,9,"8714"
"1135",67,"4","Apr",17,1983,11,63,"control","PF","M",NA,NA,NA,NA,NA,"S",16,6,"7602"
"1136",68,"5","May",14,1983,12,26,"control","PF","M",NA,NA,NA,NA,NA,"S",16,7,"8141"
"1137",68,"5","May",14,1983,19,32,"exclosure","PF","M",NA,NA,NA,NA,NA,"R",16,7,"6500"
"1138",68,"5","May",14,1983,21,64,"exclosure","PF","M",NA,NA,NA,NA,NA,"R",16,8,"41"
"1139",68,"5","May",15,1983,4,13,"control","PF","M",NA,NA,NA,NA,NA,"S",16,7,"7141"
"1140",68,"5","May",15,1983,9,24,"control","PF","M",NA,NA,NA,NA,NA,"S",16,8,"7604"
"1141",68,"5","May",15,1983,8,36,"control","PF","M",NA,NA,NA,NA,NA,"S",16,7,"8611"
"1142",69,"6","Jun",18,1983,9,61,"control","PF","M",NA,NA,NA,NA,NA,"S",16,9,"7604"
"1143",70,"7","Jul",16,1983,19,14,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"6500"
"1144",70,"7","Jul",17,1983,9,46,"control","PF","M",NA,NA,NA,NA,NA,"S",15,8,"7604"
"1145",72,"9","Sept",11,1983,1,53,"control","PF","M",NA,NA,NA,NA,NA,"S",16,7,"7142"
"1146",138,"9","Sept",3,1989,6,27,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,7,"5004"
"1147",142,"1","Jan",6,1990,6,71,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,7,"12"
"1148",144,"2","Feb",24,1990,6,22,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"6111"
"1149",144,"2","Feb",24,1990,6,43,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"12"
"1150",145,"3","Mar",29,1990,6,12,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,7,"12"
"1151",146,"4","Apr",24,1990,18,61,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,7,"6112"
"1152",146,"4","Apr",26,1990,3,37,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,7,"104"
"1153",146,"4","Apr",26,1990,6,61,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,7,"6111"
"1154",148,"6","Jun",21,1990,6,22,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"12"
"1155",149,"7","Jul",22,1990,3,66,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"5014"
"1156",150,"8","Aug",16,1990,18,65,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"5100"
"1157",150,"8","Aug",17,1990,3,27,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"5013"
"1158",150,"8","Aug",17,1990,3,53,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"5010"
"1159",155,"1","Jan",11,1991,18,42,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"5102"
"1160",162,"8","Aug",7,1991,18,14,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,7,"5112"
"1161",162,"8","Aug",7,1991,20,35,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",14,9,"5103"
"1162",163,"9","Sept",9,1991,18,75,"exclosure","PF","M",NA,NA,NA,NA,NA,"R",16,7,"5112"
"1163",170,"4","Apr",4,1992,18,22,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"7001"
"1164",170,"4","Apr",5,1992,13,61,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"6100"
"1165",170,"4","Apr",5,1992,4,74,"control","PF","M",NA,NA,NA,NA,NA,"S",15,8,"5012"
"1166",176,"9","Sept",26,1992,17,73,"control","PF","M",NA,NA,NA,NA,NA,"S",11,10,"7003"
"1167",176,"9","Sept",27,1992,14,17,"control","PF","M",NA,NA,NA,NA,NA,"R",15,8,"5004"
"1168",177,"10","Oct",18,1992,21,12,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"6114"
"1169",181,"3","Mar",17,1993,21,34,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,11,"6114"
"1170",182,"4","Apr",23,1993,21,33,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"145FE7"
"1171",182,"4","Apr",23,1993,20,47,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"3C5D0D"
"1172",186,"8","Aug",19,1993,18,65,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"1E9BE7"
"1173",186,"8","Aug",20,1993,15,12,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"1EA8D3"
"1174",187,"9","Sept",16,1993,20,16,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"4D0743"
"1175",187,"9","Sept",16,1993,21,33,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",17,9,"4DEB68"
"1176",194,"4","Apr",10,1994,19,63,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,6,"1AE5DA"
"1177",195,"5","May",18,1994,19,22,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"1AE5DA"
"1178",195,"5","May",18,1994,21,62,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",17,7,"3C5961"
"1179",199,"9","Sept",6,1994,21,72,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",17,9,"1E9CA9"
"1180",206,"4","Apr",1,1995,20,35,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"1E9685"
"1181",211,"8","Aug",27,1995,14,21,"control","PF","M",NA,NA,NA,NA,NA,"S",16,10,"0"
"1182",212,"9","Sept",23,1995,22,25,"control","PF","M",NA,NA,NA,NA,NA,"S",14,8,"1E957F"
"1183",212,"9","Sept",24,1995,14,46,"control","PF","M",NA,NA,NA,NA,NA,"R",15,7,"0D43C7"
"1184",212,"9","Sept",24,1995,15,54,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",17,10,"146A9B"
"1185",213,"10","Oct",28,1995,18,11,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"1F4661"
"1186",213,"10","Oct",28,1995,17,16,"control","PF","M",NA,NA,NA,NA,NA,"S",15,10,"113AA5"
"1187",213,"10","Oct",28,1995,18,34,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"0DFD36"
"1188",213,"10","Oct",28,1995,18,47,"exclosure","PF","M",NA,NA,NA,NA,NA,"R",16,9,"0D49F0"
"1189",213,"10","Oct",28,1995,20,71,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"15E660"
"1190",213,"10","Oct",29,1995,14,13,"control","PF","M",NA,NA,NA,NA,NA,"S",16,10,"1E94F1"
"1191",213,"10","Oct",29,1995,15,43,"exclosure","PF","M",NA,NA,NA,NA,NA,"R",15,7,"1958B3"
"1192",213,"10","Oct",29,1995,15,56,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"1EA1B4"
"1193",213,"10","Oct",29,1995,4,62,"control","PF","M",NA,NA,NA,NA,NA,"R",15,9,"195F4F"
"1194",214,"12","Dec",2,1995,17,12,"control","PF","M",NA,NA,NA,NA,NA,"S",16,12,"1A31A2"
"1195",214,"12","Dec",2,1995,18,31,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"1F4174"
"1196",214,"12","Dec",2,1995,18,51,"exclosure","PF","M",NA,NA,NA,NA,NA,"R",16,9,"19489F"
"1197",214,"12","Dec",3,1995,14,13,"control","PF","M",NA,NA,NA,NA,NA,"S",16,9,"4E1F65"
"1198",214,"12","Dec",3,1995,13,63,"exclosure","PF","M",NA,NA,NA,NA,NA,"R",16,9,"145606"
"1199",215,"12","Dec",21,1995,17,64,"control","PF","M",NA,NA,NA,NA,NA,"R",17,9,"15F2B2"
"1200",216,"1","Jan",27,1996,20,74,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"1E9B59"
"1201",217,"2","Feb",25,1996,14,23,"control","PF","M",NA,NA,NA,NA,NA,"M",16,10,"1E94F1"
"1202",218,"3","Mar",23,1996,22,14,"control","PF","M",NA,NA,NA,NA,NA,"M",16,8,"1F4930"
"1203",218,"3","Mar",23,1996,18,16,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,10,"4E15AD"
"1204",218,"3","Mar",23,1996,1,66,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",12,6,"0D568F"
"1205",219,"4","Apr",14,1996,20,17,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",17,10,"1E9B59"
"1206",219,"4","Apr",14,1996,1,36,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",16,8,"F85C8F"
"1207",219,"4","Apr",14,1996,17,42,"control","PF","M",NA,NA,NA,NA,NA,"S",16,9,"4E15A3"
"1208",219,"4","Apr",15,1996,15,14,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",14,7,"1EA1B4"
"1209",219,"4","Apr",15,1996,4,32,"control","PF","M",NA,NA,NA,NA,NA,"S",16,11,"64B488"
"1210",219,"4","Apr",15,1996,8,34,"control","PF","M",NA,NA,NA,NA,NA,"S",15,9,"0"
"1211",219,"4","Apr",15,1996,3,36,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,7,"64AD53"
"1212",219,"4","Apr",15,1996,9,52,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",16,7,"96C213"
"1213",219,"4","Apr",15,1996,15,77,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",14,12,"63500"
"1214",220,"5","May",23,1996,22,15,"control","PF","M",NA,NA,NA,NA,NA,"S",17,8,"1F4930"
"1215",220,"5","May",23,1996,18,17,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",13,8,"14596E"
"1216",220,"5","May",23,1996,2,42,"control","PF","M",NA,NA,NA,NA,NA,"M",17,8,"296D70"
"1217",220,"5","May",23,1996,18,65,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"64C458"
"1218",220,"5","May",24,1996,6,62,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"F74E4B"
"1219",221,"6","Jun",14,1996,9,12,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",16,8,"2B26D5"
"1220",221,"6","Jun",14,1996,4,47,"control","PF","M",NA,NA,NA,NA,NA,"S",17,10,"2BB1CA"
"1221",222,"7","Jul",20,1996,18,15,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"2B75E8"
"1222",222,"7","Jul",20,1996,19,46,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"266659"
"1223",222,"7","Jul",20,1996,22,77,"control","PF","M",NA,NA,NA,NA,NA,"S",16,8,"2B763A"
"1224",223,"8","Aug",14,1996,17,32,"control","PF","M",NA,NA,NA,NA,NA,"S",16,10,"1A31A2"
"1225",223,"8","Aug",15,1996,13,76,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"1E9956"
"1226",225,"10","Oct",13,1996,9,25,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",16,7,"14BD39"
"1227",227,"12","Dec",18,1996,22,42,"control","PF","M",NA,NA,NA,NA,NA,"S",16,7,"14C3C3"
"1228",228,"2","Feb",8,1997,19,16,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",17,8,"0"
"1229",228,"2","Feb",8,1997,12,44,"control","PF","M",NA,NA,NA,NA,NA,"S",16,9,"704A13"
"1230",228,"2","Feb",8,1997,21,61,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"4E219D"
"1231",229,"3","Mar",15,1997,19,12,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"2B2DC1"
"1232",229,"3","Mar",15,1997,20,76,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"FAFF5B"
"1233",229,"3","Mar",16,1997,13,12,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"FA5BCA"
"1234",229,"3","Mar",16,1997,8,36,"control","PF","M",NA,NA,NA,NA,NA,"S",14,8,"FA6E7E"
"1235",229,"3","Mar",16,1997,4,51,"control","PF","M",NA,NA,NA,NA,NA,"S",16,10,"2BB1CA"
"1236",229,"3","Mar",16,1997,6,75,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,6,"1EB1DB"
"1237",230,"4","Apr",12,1997,17,52,"control","PF","M",NA,NA,NA,NA,NA,"S",16,10,"1369A9"
"1238",230,"4","Apr",12,1997,20,65,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"FAFF5B"
"1239",230,"4","Apr",12,1997,1,72,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",16,8,"FA6558"
"1240",230,"4","Apr",12,1997,19,75,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",14,9,"14C2C7"
"1241",230,"4","Apr",13,1997,13,35,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,10,"3B65F7"
"1242",230,"4","Apr",13,1997,3,56,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"2A8558"
"1243",231,"5","May",10,1997,21,51,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,10,"1369A9"
"1244",231,"5","May",10,1997,18,72,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"DBBB52"
"1245",231,"5","May",11,1997,11,63,"control","PF","M",NA,NA,NA,NA,NA,"R",15,8,"FA002A"
"1246",232,"6","Jun",9,1997,4,15,"control","PF","M",NA,NA,NA,NA,NA,"S",16,9,"8103PF"
"1247",232,"6","Jun",10,1997,9,66,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",15,8,"F9E393"
"1248",232,"6","Jun",11,1997,21,11,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"1369A9"
"1249",233,"7","Jul",9,1997,15,11,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",17,9,"F9E116"
"1250",233,"7","Jul",10,1997,9,31,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",16,6,"6100PF"
"1251",233,"7","Jul",10,1997,9,45,"spectabs","PF","M",NA,NA,NA,NA,NA,"S",14,7,"F9E393"
"1252",233,"7","Jul",9,1997,20,57,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"70120C"
"1253",234,"7","Jul",29,1997,20,77,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"CLUBPF"
"1254",234,"7","Jul",30,1997,15,24,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"F9E116"
"1255",234,"7","Jul",30,1997,13,27,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,10,"7001PF"
"1256",243,"5","May",28,1998,20,34,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"8000PF"
"1257",274,"3","Mar",25,2001,4,32,"control","PF","M",NA,NA,NA,NA,NA,"S",17,8,"646"
"1258",276,"5","May",27,2001,4,42,"control","PF","M",NA,NA,NA,NA,NA,"S",16,8,"8200PF"
"1259",281,"10","Oct",14,2001,3,53,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",14,7,"744F08"
"1260",281,"10","Oct",14,2001,4,11,"control","PF","M",NA,NA,NA,NA,NA,"M",16,7,"277D13"
"1261",286,"3","Mar",14,2002,3,51,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",9,8,"744F08"
"1262",286,"3","Mar",14,2002,4,41,"control","PF","M",NA,NA,NA,NA,NA,"S",17,8,"277D13"
"1263",287,"4","Apr",17,2002,4,72,"control","PF","M",NA,NA,NA,NA,NA,"S",15,7,"3B3A50"
"1264",297,"3","Mar",6,2003,21,51,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"76354F"
"1265",297,"3","Mar",7,2003,4,41,"control","PF","M",NA,NA,NA,NA,NA,"M",15,8,"151E39"
"1266",297,"3","Mar",7,2003,14,25,"control","PF","M",NA,NA,NA,NA,NA,"M",14,8,"30523"
"1267",298,"3","Mar",30,2003,3,76,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"0D2D5A"
"1268",298,"3","Mar",30,2003,6,43,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"220B3F"
"1269",298,"3","Mar",30,2003,13,44,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,4,"337969"
"1270",298,"3","Mar",30,2003,15,55,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,5,"747C71"
"1271",346,"3","Mar",18,2007,4,72,"control","PF","M",NA,NA,NA,NA,NA,"S",15,9,"275535"
"1272",362,"6","Jun",28,2008,12,63,"control","PF","M",NA,NA,NA,NA,NA,"M",16,6,"223048"
"1273",362,"6","Jun",29,2008,4,34,"control","PF","M",NA,NA,NA,NA,NA,"S",15,6,"2E4F56"
"1274",362,"6","Jun",29,2008,6,43,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"176D2D"
"1275",363,"7","Jul",27,2008,11,22,"control","PF","M",NA,NA,NA,NA,NA,"M",14,9,"0E1139"
"1276",374,"6","Jun",20,2009,20,76,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"3C3715"
"1277",375,"7","Jul",30,2009,13,45,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,7,"7C7C3F"
"1278",402,"2","Feb",20,2012,13,62,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,8,"166E7C"
"1279",403,"3","Mar",13,2012,3,35,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,10,"37161C"
"1280",403,"3","Mar",13,2012,4,42,"control","PF","M",NA,NA,NA,NA,NA,"M",14,10,"145272"
"1281",403,"3","Mar",13,2012,8,14,"control","PF","M",NA,NA,NA,NA,NA,"M",16,9,"1D7A74"
"1282",403,"3","Mar",13,2012,13,24,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,9,"166E7C"
"1283",404,"4","Apr",22,2012,3,35,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,10,"37161C"
"1284",405,"5","May",26,2012,22,71,"control","PF","M",NA,NA,NA,NA,NA,"M",15,9,"5E6800"
"1285",406,"6","Jun",16,2012,21,13,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,NA
"1286",415,"3","Mar",14,2013,13,35,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,7,"00F67A"
"1287",416,"4","Apr",14,2013,6,23,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"5D9FDD"
"1288",417,"5","May",11,2013,21,12,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,10,"012D2E"
"1289",417,"5","May",11,2013,20,45,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,8,"00F833"
"1290",424,"3","Mar",29,2014,21,55,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,8,"00B40B"
"1291",424,"3","Mar",30,2014,3,66,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"00F23B"
"1292",433,"12","Dec",13,2014,19,76,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"B25BF9"
"1293",434,"1","Jan",17,2015,21,62,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"B6E58D"
"1294",435,"2","Feb",21,2015,20,42,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"B26A32"
"1295",436,"3","Mar",26,2015,21,42,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,9,"B26A32"
"1296",437,"4","Apr",18,2015,21,76,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,10,"B2CA8B"
"1297",437,"4","Apr",19,2015,5,75,"control","PF","M",NA,NA,NA,NA,NA,"S",15,10,"B259B8"
"1298",439,"6","Jun",13,2015,6,42,"control","PF","M",NA,NA,NA,NA,NA,"S",15,10,"B1DAA9"
"1299",439,"6","Jun",13,2015,21,33,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",16,9,"B2CA8B"
"1300",440,"7","Jul",18,2015,21,33,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",15,10,"B2CA8B"
"1301",440,"7","Jul",19,2015,5,41,"control","PF","M",NA,NA,NA,NA,NA,"S",14,10,"B1DAA9"
"1302",450,"6","Jun",4,2016,20,56,"exclosure","PF","M",NA,NA,NA,NA,NA,"S",14,8,"B2C812"
"1303",451,"7","Jul",3,2016,3,55,"exclosure","PF","M",NA,NA,NA,NA,NA,"M",15,8,"B2D2B6"
"1304",55,"2","Feb",23,1982,14,46,"control","PE","M",NA,NA,NA,NA,NA,"S",19,21,"4937"
"1305",58,"5","May",21,1982,13,66,"control","PE","M",NA,NA,NA,NA,NA,"S",19,22,"4937"
"1306",58,"5","May",21,1982,13,67,"control","PE","M",NA,NA,NA,NA,NA,"R",20,21,"3124"
"1307",75,"12","Dec",8,1983,24,14,"spectabs","PE","M",NA,NA,NA,NA,NA,"S",21,17,"5357"
"1308",79,"5","May",27,1984,18,17,"control","PE","M",NA,NA,NA,NA,NA,"S",19,18,"2687"
"1309",81,"7","Jul",31,1984,19,75,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",20,22,"5414"
"1310",82,"8","Aug",25,1984,12,17,"control","PE","M",NA,NA,NA,NA,NA,"S",19,22,"5414"
"1311",88,"3","Mar",17,1985,3,21,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",19,18,"5594"
"1312",94,"10","Oct",12,1985,6,77,"control","PE","M",NA,NA,NA,NA,NA,"S",19,18,"6290"
"1313",97,"3","Mar",8,1986,12,51,"control","PE","M",NA,NA,NA,NA,NA,"S",19,19,"6358"
"1314",97,"3","Mar",9,1986,2,53,"control","PE","M",NA,NA,NA,NA,NA,"R",19,19,"6370"
"1315",97,"3","Mar",9,1986,11,56,"control","PE","M",NA,NA,NA,NA,NA,"S",20,19,"6358"
"1316",107,"1","Jan",31,1987,18,25,"control","PE","M",NA,NA,NA,NA,NA,"R",19,27,"6358"
"1317",107,"2","Feb",1,1987,2,45,"control","PE","M",NA,NA,NA,NA,NA,"S",20,23,"6902"
"1318",109,"4","Apr",6,1987,13,61,"control","PE","M",NA,NA,NA,NA,NA,"S",21,21,"6931"
"1319",111,"5","May",28,1987,20,11,"control","PE","M",NA,NA,NA,NA,NA,"S",20,20,"7566"
"1320",113,"7","Jul",25,1987,24,57,"spectabs","PE","M",NA,NA,NA,NA,NA,"S",NA,13,"7513"
"1321",113,"7","Jul",25,1987,20,63,"control","PE","M",NA,NA,NA,NA,NA,"S",NA,18,"7689"
"1322",114,"8","Aug",26,1987,15,36,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",20,19,"7026"
"1323",121,"4","Apr",19,1988,3,66,"exclosure","PE","M",NA,NA,NA,NA,NA,"R",21,27,"7948"
"1324",123,"6","Jun",11,1988,20,37,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",21,21,"8584"
"1325",123,"6","Jun",12,1988,13,67,"exclosure","PE","M",NA,NA,NA,NA,NA,"M",20,22,"7740"
"1326",124,"7","Jul",15,1988,13,64,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",22,24,"7740"
"1327",125,"8","Aug",9,1988,12,51,"control","PE","M",NA,NA,NA,NA,NA,"M",21,21,"7725"
"1328",131,"2","Feb",4,1989,12,15,"control","PE","M",NA,NA,NA,NA,NA,"M",22,24,"7725"
"1329",132,"3","Mar",13,1989,20,12,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",21,24,"7473"
"1330",134,"5","May",9,1989,19,36,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",20,22,"8642"
"1331",134,"5","May",10,1989,13,46,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",22,21,"7354"
"1332",136,"7","Jul",3,1989,19,76,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",NA,21,"8901"
"1333",138,"9","Sept",3,1989,12,52,"control","PE","M",NA,NA,NA,NA,NA,"S",21,23,"8642"
"1334",139,"10","Oct",8,1989,19,37,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",20,23,"8642"
"1335",151,"9","Sept",25,1990,13,76,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",NA,23,"1264"
"1336",160,"6","Jun",13,1991,20,12,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",16,16,"1560"
"1337",162,"8","Aug",7,1991,20,54,"exclosure","PE","M",NA,NA,NA,NA,NA,"R",20,22,"1821"
"1338",162,"8","Aug",8,1991,15,12,"exclosure","PE","M",NA,NA,NA,NA,NA,"R",20,18,"1821"
"1339",232,"6","Jun",9,1997,6,77,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",21,22,"2834"
"1340",246,"8","Aug",23,1998,6,24,"exclosure","PE","M",NA,NA,NA,NA,NA,"R",19,18,"2583"
"1341",286,"3","Mar",13,2002,19,56,"exclosure","PE","M",NA,NA,NA,NA,NA,"S",20,20,"4B3A4A"
"1342",299,"5","May",3,2003,18,51,"exclosure","PE","M",NA,NA,NA,NA,NA,"M",20,21,"15010C"
"1343",299,"5","May",4,2003,13,73,"exclosure","PE","M",NA,NA,NA,NA,NA,"M",20,24,"1B5719"
"1344",303,"8","Aug",24,2003,9,13,"spectabs","PE","M",NA,NA,NA,NA,NA,"M",20,24,"3B764A"
"1345",320,"1","Jan",16,2005,3,12,"exclosure","PE","M",NA,NA,NA,NA,NA,"M",15,21,"594862"
"1346",346,"3","Mar",17,2007,2,66,"control","PE","M",NA,NA,NA,NA,NA,"S",21,24,"52072F"
"1347",348,"5","May",20,2007,14,61,"control","PE","M",NA,NA,NA,NA,NA,"S",18,23,"3A025E"
"1348",399,"10","Oct",23,2011,6,77,"exclosure","PE","M",NA,NA,NA,NA,NA,"R",19,21,"000248"
"1349",408,"8","Aug",18,2012,21,27,"exclosure","PE","M",NA,NA,NA,NA,NA,"R",19,23,"000736"
"1350",435,"2","Feb",22,2015,11,37,"control","PE","M",NA,NA,NA,NA,NA,"S",20,31,"B2C407"
